inputsize, time
100, 0.000076
110, 0.000115
120, 0.000104
130, 0.000120
140, 0.000139
150, 0.000158
160, 0.000179
170, 0.000202
180, 0.000224
190, 0.000251
200, 0.000277
210, 0.000302
220, 0.000329
230, 0.000373
240, 0.000393
250, 0.000425
260, 0.000460
270, 0.000494
280, 0.000533
290, 0.000570
300, 0.000570
310, 0.000452
320, 0.000480
330, 0.000511
340, 0.000541
350, 0.000573
360, 0.000604
370, 0.000644
380, 0.000676
390, 0.000709
400, 0.000747
410, 0.000782
420, 0.000849
430, 0.000860
440, 0.000900
450, 0.000941
460, 0.000809
470, 0.000714
480, 0.000745
490, 0.000775
500, 0.000807
510, 0.000848
520, 0.000872
530, 0.000906
540, 0.001004
550, 0.001123
560, 0.001010
570, 0.001047
580, 0.001091
590, 0.001121
600, 0.001158
610, 0.001199
620, 0.001235
630, 0.001275
640, 0.001320
650, 0.001358
660, 0.001399
670, 0.001444
680, 0.001483
690, 0.001527
700, 0.001578
710, 0.001617
720, 0.001665
730, 0.001709
740, 0.001759
750, 0.001801
760, 0.001853
770, 0.001898
780, 0.001951
790, 0.002001
800, 0.002052
810, 0.002101
820, 0.002154
830, 0.002205
840, 0.002260
850, 0.002325
860, 0.002368
870, 0.002424
880, 0.002478
890, 0.002534
900, 0.002591
910, 0.002647
920, 0.002712
930, 0.002795
940, 0.002831
950, 0.002905
960, 0.002946
970, 0.003008
980, 0.003076
990, 0.003137
1000, 0.003195
