min, time
1, 0.003372
2, 0.005442
3, 0.004770
5, 0.005194
8, 0.007001
13, 0.008995
21, 0.011026
34, 0.013199
55, 0.015099
89, 0.017130
144, 0.019176
233, 0.021211
377, 0.023243
610, 0.025286
987, 0.027311
1597, 0.029354
2584, 0.031388
4181, 0.033439
6765, 0.035464
10946, 0.037510
17711, 0.039552
28657, 0.041580
46368, 0.043616
75025, 0.045672
121393, 0.047748
196418, 0.049733
317811, 0.051779
514229, 0.053818
832040, 0.055850
1346269, 0.058074
2178309, 0.059963
3524578, 0.061981
5702887, 0.064029
9227465, 0.066308
14930352, 0.068811
